ip,port,result,classification,tls,cert_subject,cert_issuer,cert_valid_from,cert_valid_to,broker_error,sys_topic_count,regular_topic_count,retained_count,publishers,timestamp
10.80.192.29,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.712461
10.80.192.29,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720673
10.80.192.50,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711005
10.80.192.50,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720630
10.80.192.30,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709010
10.80.192.30,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720964
10.80.192.3,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.707619
10.80.192.3,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.720824
10.80.192.5,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711062
10.80.192.5,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722627
10.80.192.25,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708474
10.80.192.25,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722599
10.80.192.41,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709693
10.80.192.41,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721026
10.80.192.40,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709603
10.80.192.40,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721244
10.80.192.21,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.712411
10.80.192.21,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721125
10.80.192.45,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710097
10.80.192.45,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721209
10.80.192.36,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710751
10.80.192.36,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721446
10.80.192.48,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.712778
10.80.192.48,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721537
10.80.192.26,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708592
10.80.192.26,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.723306
10.80.192.16,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.713246
10.80.192.16,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721976
10.80.192.1,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709790
10.80.192.1,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722051
10.80.192.31,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709031
10.80.192.31,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722221
10.80.192.19,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711252
10.80.192.19,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.719860
10.80.192.2,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708693
10.80.192.2,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722144
10.80.192.7,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710252
10.80.192.7,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722329
10.80.192.51,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.712134
10.80.192.51,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722402
10.80.192.44,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710012
10.80.192.44,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.722739
10.80.192.35,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709461
10.80.192.35,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721376
10.80.192.43,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709866
10.80.192.43,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.723059
10.80.192.10,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.711204
10.80.192.10,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721315
10.80.192.37,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709488
10.80.192.37,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.723233
10.80.192.9,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.712372
10.80.192.9,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.721788
10.80.192.39,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.709528
10.80.192.39,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.723554
10.80.192.6,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.710470
10.80.192.6,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.723593
10.80.192.28,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.708941
10.80.192.28,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.723815
10.80.192.102,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.723413
10.80.192.102,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.734815
10.80.192.103,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.724202
10.80.192.103,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.734998
10.80.192.77,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.726755
10.80.192.77,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.735026
10.80.192.90,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.726991
10.80.192.90,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.735282
10.80.192.55,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.724770
10.80.192.55,8883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:31.735565
10.80.192.112,1883,closed_or_unreachable,closed_or_unreachable,,,,,,,0,0,0,[],2025-12-17T16:48:29.725465
