ip,port,result,classification,tls,cert_subject,cert_issuer,cert_valid_from,cert_valid_to,broker_error,sys_topic_count,regular_topic_count,retained_count,publishers,timestamp
192.168.100.56,1883,connected,open_or_auth_ok,False,Not a TLS port,,,,,51,0,51,"[{""topic"": ""test/temperature"", ""payload"": ""{\""value\"": 23.5, \""unit\"": \""C\"", \""timestamp\"": \""2025-10-27T01:11:55.569751\""}"", ""payload_size"": 71, ""qos"": 0, ""retained"": true, ""message_count"": 1, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""test/humidity"", ""payload"": ""{\""value\"": 65, \""unit\"": \""%\"", \""timestamp\"": \""2025-10-27T01:11:56.070123\""}"", ""payload_size"": 69, ""qos"": 0, ""retained"": true, ""message_count"": 1, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""test/status"", ""payload"": ""{\""online\"": true, \""device\"": \""test_sensor\"", \""timestamp\"": \""2025-10-27T01:11:56.570699\""}"", ""payload_size"": 84, ""qos"": 0, ""retained"": true, ""message_count"": 1, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/living_room/temp"", ""payload"": ""{\""temperature\"": 22.1, \""timestamp\"": \""2025-10-27T01:11:57.071302\""}"", ""payload_size"": 64, ""qos"": 0, ""retained"": true, ""message_count"": 1, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/bedroom/humidity"", ""payload"": ""{\""humidity\"": 58, \""timestamp\"": \""2025-10-27T01:11:57.572136\""}"", ""payload_size"": 59, ""qos"": 0, ""retained"": true, ""message_count"": 1, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/hanif/dht11"", ""payload"": ""{\""temp_c\"":31.9,\""hum_pct\"":51.0,\""device\"":\""esp32-dht11\""}"", ""payload_size"": 53, ""qos"": 0, ""retained"": true, ""message_count"": 1, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/hanif/pir_insecure"", ""payload"": ""{\""pir\"":1}"", ""payload_size"": 9, ""qos"": 0, ""retained"": true, ""message_count"": 1, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}, {""topic"": ""sensors/faris/pir_insecure"", ""payload"": ""{\""pir\"":1}"", ""payload_size"": 9, ""qos"": 0, ""retained"": true, ""message_count"": 1, ""client_id_note"": ""Unknown - MQTT v3.x limitation""}]",2025-12-16T09:12:40.826819
192.168.100.56,8883,connect_failed (Connection failed with code Not authorized),not_authorized_or_unreachable,True,,,,,,0,0,0,[],2025-12-16T09:12:46.651273
